Jun  5 11:36:08.565023 - 4296/6068	Decremented table handle count to 1 
Jun  5 11:36:08.565024 - 4296/6068	Exiting JDB_CloseTable(Table = F98740) with Success 
Jun  5 11:36:08.565025 - 4296/6068	Exiting JDB_CloseTable with Success 
Jun  5 11:36:08.565026 - 4296/6068	IntSpecClose: Returning 'PASSED', Handle=000000000a484ec0 
Jun  5 11:36:08.565027 - 4296/6068	ODBC:S DBInitConnection shr(6) con=000000000A47C530,env=0000000001787470,dbc=000000000178BEA0,spid=180 cur=0,3,6 sep=. VMC10134PJ038 A (CT920SQL@JDE920PROD) 
Jun  5 11:36:08.565028 - 4296/6068	Incremented table handle count to 2 
Jun  5 11:36:08.565029 - 4296/6068	Exiting JDB_OpenTable(Table = F986110R) (UserHandle 000000000ac2a4d0) (hRequest 000000000916add0) with Success 
Jun  5 11:36:08.565030 - 4296/6068	Entering JDB_CloseTable (hRequest 000000000916add0) 
Jun  5 11:36:08.565031 - 4296/6068	Entering JDB_CloseTable(Table = F986110R) 
Jun  5 11:36:08.565032 - 4296/6068	Entering JDB_ClearSequencing (hRequest 000000000916add0) 
Jun  5 11:36:08.565033 - 4296/6068	Exiting JDB_ClearSequencing with Success 
Jun  5 11:36:08.565034 - 4296/6068	Entering JDB_ClearSelection (hRequest 000000000916add0) 
Jun  5 11:36:08.565035 - 4296/6068	Exiting JDB_ClearSelection with Success 
Jun  5 11:36:08.565036 - 4296/6068	Entering JDB_ClearAggregate (hRequest 000000000916add0) 
Jun  5 11:36:08.565037 - 4296/6068	Exiting JDB_ClearAggregate with Success 
Jun  5 11:36:08.565038 - 4296/6068	Entering JDB_ClearGroupBy (hRequest 000000000916add0) 
Jun  5 11:36:08.565039 - 4296/6068	Exiting JDB_ClearGroupBy with Success 
Jun  5 11:36:08.565040 - 4296/6068	Entering JDB_ClearColumnArithmetic (hRequest 000000000916add0) 
Jun  5 11:36:08.565041 - 4296/6068	Exiting JDB_ClearColumnArithmetic with Success 
Jun  5 11:36:08.565042 - 4296/6068	Entering JDB_ClearHaving (hRequest 000000000916add0) 
Jun  5 11:36:08.565043 - 4296/6068	Exiting JDB_ClearHaving with Success 
Jun  5 11:36:08.565044 - 4296/6068	Entering JDB_ClearBuffers (hRequest 000000000916add0) 
Jun  5 11:36:08.565045 - 4296/6068	Exiting JDB_ClearBuffers with success. 
Jun  5 11:36:08.565046 - 4296/6068	Decremented table handle count to 1 
Jun  5 11:36:08.565047 - 4296/6068	Exiting JDB_CloseTable(Table = F986110R) with Success 
Jun  5 11:36:08.565048 - 4296/6068	Exiting JDB_CloseTable with Success 
Jun  5 11:36:08.565049 - 4296/6068	QUEUE06000011-Start Get VBQ Hostname for 'VMC10134DJ002' 
Jun  5 11:36:08.565050 - 4296/6068	QUEUE06000011-End Get VBQ Hostname returning NULL. 
Jun  5 11:36:08.565051 - 4296/6068	Entering JDB_OpenTable(Table = F986167) 
